	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
28	-0.08679	0.17548	-0.03697	0.26159	0.06521	0.13565	0.21850	0.15812	-0.05679	0.00890	-0.04392	0.03865	-0.12086	-0.37062	-0.12000	0.09005	0.02925	0.06373	0.10670	-0.06308	-0.01659	0.33031	-0.05049	-0.07125	-0.02046	-0.11561	0.03228	-0.01180	0.35048	0.25899	-0.37089	-0.07835	0.09106
29	-0.08267	0.17839	0.03058	0.27432	0.09571	0.14626	0.22239	0.17806	-0.01948	0.01485	-0.03812	0.04950	-0.13474	-0.32019	-0.10680	0.07448	0.06851	0.09880	0.09648	-0.00898	-0.00312	0.34830	-0.02997	-0.07313	-0.00374	-0.04850	0.05871	0.02119	0.44273	0.30117	-0.37054	0.01033	0.12669
30	-0.07064	0.17833	0.10024	0.28024	0.12884	0.15479	0.22201	0.19588	0.01946	0.03972	-0.02895	0.06027	-0.14888	-0.26348	-0.08977	0.06437	0.11772	0.13880	0.08351	0.04754	0.01367	0.36052	-0.00862	-0.07157	0.01430	0.02218	0.08774	0.06538	0.51908	0.34053	-0.34837	0.10572	0.16687
31	-0.05444	0.18339	0.16844	0.27721	0.16283	0.16064	0.21648	0.21022	0.06190	0.06354	-0.01634	0.07000	-0.15984	-0.20426	-0.07062	0.06408	0.18342	0.18160	0.06783	0.10683	0.03316	0.36513	0.01697	-0.06583	0.03379	0.09431	0.11844	0.11448	0.57080	0.37250	-0.32473	0.19794	0.21225
32	-0.03609	0.19619	0.23198	0.26576	0.19577	0.16363	0.20285	0.22117	0.10800	0.08540	-0.00078	0.07789	-0.16663	-0.14547	-0.05024	0.07520	0.26893	0.22452	0.04646	0.16839	0.05429	0.35924	0.04761	-0.05586	0.05338	0.16616	0.14968	0.16761	0.59608	0.39433	-0.31003	0.27421	0.26056
33	-0.01685	0.21118	0.28783	0.25010	0.22582	0.16392	0.18055	0.22568	0.15686	0.10679	0.01694	0.08326	-0.17282	-0.08927	-0.02856	0.09725	0.36854	0.26423	0.02097	0.23237	0.07581	0.34013	0.08134	-0.04193	0.07101	0.23542	0.18025	0.21730	0.59990	0.40668	-0.29701	0.32455	0.30647
34	0.00344	0.22053	0.33335	0.23606	0.25180	0.16162	0.15630	0.21844	0.20838	0.13058	0.03619	0.08582	-0.17817	-0.03661	-0.00512	0.12803	0.46618	0.29750	0.00184	0.30071	0.09688	0.31076	0.11605	-0.02450	0.08627	0.29934	0.20902	0.25401	0.59235	0.41273	-0.27295	0.34547	0.34486
35	0.02526	0.22371	0.36722	0.22653	0.27347	0.15680	0.13833	0.19606	0.26154	0.15751	0.05653	0.08592	-0.17865	0.01185	0.02025	0.16726	0.54350	0.32232	-0.00031	0.37292	0.11728	0.27696	0.15016	-0.00422	0.10200	0.35557	0.23507	0.27519	0.58418	0.41605	-0.23948	0.34100	0.37368
36	0.04800	0.22614	0.39002	0.21974	0.29140	0.14963	0.12931	0.15638	0.31228	0.18246	0.07726	0.08374	-0.17114	0.05607	0.04777	0.21579	0.58937	0.33873	0.01873	0.44130	0.13647	0.23988	0.18326	0.01804	0.12035	0.40114	0.25753	0.28542	0.58242	0.41929	-0.21043	0.32111	0.39367
37	0.06917	0.23101	0.40359	0.21279	0.30661	0.14023	0.12860	0.10651	0.35612	0.19286	0.09695	0.07861	-0.15618	0.09672	0.07812	0.26566	0.60431	0.34874	0.05329	0.49250	0.15253	0.20391	0.21975	0.04136	0.14036	0.43204	0.27581	0.29104	0.58878	0.42378	-0.19500	0.29608	0.40658
