	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
18	0.11626	0.13592	0.00433	0.06614	-0.11713	0.03563	0.20012	0.00216	-0.01298	0.08353	-0.10020	0.08250	0.08326	0.08992	-0.09604	0.22785	-0.03568	-0.07554	0.19859	0.04609	-0.04187	0.20165	-0.07205	-0.15854	0.16158	0.01353	-0.16484	0.21340	-0.08217	-0.14064	-0.10479	0.03603	-0.10860
19	0.09718	0.12983	0.00235	0.05784	-0.11356	0.03183	0.19789	0.00287	-0.00881	0.08435	-0.10099	0.07725	0.06798	0.07754	-0.10126	0.21313	-0.03312	-0.07520	0.19586	0.05083	-0.04637	0.19992	-0.06845	-0.15562	0.14362	0.01418	-0.16130	0.17566	-0.07342	-0.12361	-0.11450	0.02657	-0.10644
20	0.08176	0.12345	0.00031	0.04874	-0.10665	0.02944	0.19443	0.00363	-0.00620	0.08540	-0.10077	0.07205	0.05400	0.06555	-0.10601	0.19677	-0.03214	-0.07476	0.19186	0.05419	-0.04982	0.19700	-0.06658	-0.15171	0.13596	0.01309	-0.15488	0.14147	-0.06116	-0.09938	-0.11938	0.01621	-0.09823
21	0.07103	0.11713	-0.00191	0.03919	-0.09687	0.03155	0.18993	0.00500	-0.00506	0.08527	-0.09930	0.06769	0.04253	0.05421	-0.11010	0.18168	-0.03258	-0.07348	0.18640	0.05524	-0.05144	0.19347	-0.06535	-0.14717	0.13670	0.01023	-0.14586	0.11242	-0.04518	-0.07014	-0.11816	0.00376	-0.08479
22	0.06360	0.11075	-0.00448	0.03098	-0.08474	0.03824	0.18680	0.00769	-0.00554	0.08347	-0.09656	0.06468	0.03220	0.04381	-0.11282	0.16773	-0.03397	-0.07059	0.18136	0.05348	-0.05082	0.19223	-0.06456	-0.14229	0.14113	0.00542	-0.13428	0.08830	-0.02676	-0.03901	-0.11136	-0.01090	-0.06699
23	0.05714	0.10436	-0.00763	0.02713	-0.07075	0.04644	0.18622	0.01313	-0.00747	0.08046	-0.09244	0.06331	0.02190	0.03430	-0.11312	0.15355	-0.03553	-0.06532	0.17694	0.04942	-0.04768	0.19551	-0.06437	-0.13721	0.14474	-0.00128	-0.12003	0.06726	-0.00886	-0.00952	-0.10175	-0.02676	-0.04574
24	0.05007	0.09932	-0.01139	0.02832	-0.05538	0.05322	0.18804	0.02100	-0.01028	0.07729	-0.08684	0.06380	0.01189	0.02548	-0.10998	0.14000	-0.03608	-0.05689	0.17319	0.04438	-0.04172	0.20290	-0.06493	-0.13195	0.14441	-0.00927	-0.10295	0.04891	0.00528	0.01531	-0.09488	-0.04233	-0.02239
25	0.04170	0.09694	-0.01541	0.03159	-0.03908	0.05687	0.19113	0.02971	-0.01303	0.07511	-0.07965	0.06626	0.00160	0.01712	-0.10257	0.12808	-0.03412	-0.04473	0.17012	0.04008	-0.03279	0.21214	-0.06614	-0.12650	0.13928	-0.01727	-0.08307	0.03553	0.01403	0.03388	-0.09599	-0.05681	0.00109
26	0.03280	0.09742	-0.01894	0.03507	-0.02222	0.05673	0.19368	0.03850	-0.01480	0.07503	-0.07090	0.07061	-0.00955	0.00909	-0.09047	0.11795	-0.02843	-0.02866	0.16645	0.03826	-0.02097	0.22090	-0.06786	-0.12083	0.13178	-0.02346	-0.06077	0.02927	0.01836	0.04619	-0.10545	-0.07025	0.02261
27	0.02512	0.09960	-0.02074	0.03914	-0.00511	0.05304	0.19467	0.04687	-0.01481	0.07766	-0.06072	0.07660	-0.02155	0.00174	-0.07382	0.10878	-0.01883	-0.00909	0.16153	0.04011	-0.00656	0.22782	-0.06972	-0.11489	0.12538	-0.02579	-0.03668	0.03077	0.02158	0.05357	-0.11776	-0.08239	0.04047
