	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
17	3.44281	1.94109	7.22520	2.30089	16.15437	1.01938	-0.15348	1.24386	-5.24078	1.98709	5.75598	1.26680	3.78435	1.33438	2.01089	6.33500	3.74943	7.88088	4.27632	6.09307	10.50351	7.37221	17.53279	16.03804	15.55704	14.90951	16.73448	1.10642	-1.55505	-0.81741	0.65211	-4.35787	-8.05714	-5.06937	-3.47876	7.49910	5.52646	5.53667	4.46171
18	3.46185	2.05945	7.41136	2.38511	16.22312	1.04599	-0.06419	1.29689	-5.10060	2.13709	6.18883	1.38941	4.10218	1.24082	1.72352	6.36485	3.87790	8.12550	4.54460	5.94481	10.85294	7.58893	17.42691	16.31978	15.77133	14.71396	16.88363	1.32210	-1.63165	-0.54399	0.59677	-4.17378	-8.23966	-4.51497	-3.47401	8.00161	6.20167	5.92355	4.62849
19	3.46205	2.02061	7.58365	2.31575	16.21956	1.09016	-0.05042	1.33248	-4.95935	2.29581	6.51703	1.39326	4.23745	1.15634	1.85194	6.23440	3.83015	8.18841	4.93490	6.05934	11.00781	7.72778	17.13512	16.38517	16.09190	14.43568	17.04996	1.45348	-1.71795	-0.33658	0.39935	-3.95422	-8.37546	-4.08983	-3.41790	8.14939	6.78707	6.36470	4.76694
20	3.44532	1.74320	7.72610	2.04647	16.22162	1.18623	-0.09236	1.36476	-4.86541	2.39647	6.64791	1.31675	4.08166	1.36636	2.20794	5.85902	3.71162	8.09738	5.42000	6.38042	10.79891	7.93381	16.84676	16.39361	16.49228	14.17695	17.19849	1.52589	-1.79071	-0.25400	0.14939	-3.71817	-8.44985	-3.86465	-3.42898	8.03602	7.06745	6.59989	4.88828
21	3.39209	1.39525	7.76547	1.66272	16.47441	0.83793	-0.16641	1.41283	-4.86544	2.40733	6.58891	1.20339	3.67763	1.60952	2.56220	5.30782	3.80327	7.83643	5.70944	6.77435	10.09473	8.41241	16.72615	16.33307	16.91360	15.10845	17.29075	1.62433	-1.81950	-0.37546	-0.09500	-3.48272	-8.46593	-3.91642	-3.59670	7.89054	6.99710	6.44880	5.01920
22	3.34808	1.26255	7.75519	1.53782	16.74106	0.55430	-0.25553	1.49411	-4.92501	2.37154	6.33971	1.13671	3.23777	1.62455	2.78533	4.86648	4.22624	7.47316	5.67738	7.09653	9.45576	9.07313	16.71518	16.22309	17.29013	16.16462	17.31226	1.79253	-1.78006	-0.66093	-0.37368	-3.28300	-8.44239	-4.13878	-3.83587	7.67921	6.67554	6.03398	4.97012
23	3.36244	1.40729	7.76112	1.64225	16.73440	0.64102	-0.33513	1.59935	-4.97440	2.33995	5.94300	1.09756	2.89086	1.46508	2.93348	4.73447	4.78828	7.18201	5.54803	7.32654	9.09184	9.65721	16.56926	16.11831	17.60211	16.20121	17.18113	1.98126	-1.67367	-0.96249	-0.68563	-3.15017	-8.40292	-4.34052	-4.00400	7.28376	6.24699	5.55146	4.68978
24	3.45659	1.66230	7.86532	1.73779	16.47895	0.96612	-0.37426	1.68139	-4.98692	2.33082	5.51694	0.98032	2.64212	1.26398	3.16288	4.95182	5.26216	7.15689	5.52619	7.58829	9.02612	10.02912	16.41970	15.81314	17.85006	15.38195	16.92992	2.11945	-1.53049	-1.16814	-0.91788	-3.06300	-8.36783	-4.48724	-4.02962	6.69627	5.82871	5.14780	4.39497
25	3.56015	1.93358	8.01562	1.77275	16.20783	1.27284	-0.35233	1.70985	-4.94121	2.37345	5.24188	0.77962	2.35132	1.03315	3.53953	5.27712	5.59964	7.26414	5.55005	8.00530	9.02982	10.22877	16.34233	15.35224	18.00775	14.69151	16.64531	2.19955	-1.39242	-1.23896	-0.97749	-2.90368	-8.34411	-4.60231	-3.91473	6.14463	5.50543	5.01852	4.29894
26	3.61138	2.16941	8.16212	1.82727	16.06036	1.33838	-0.25240	1.69643	-4.74647	2.50282	5.14497	0.58293	2.05050	0.77942	3.96971	5.40292	5.85437	7.36703	5.52508	8.55640	8.97400	10.38810	16.28467	15.05119	18.02965	14.59730	16.33897	2.28145	-1.28643	-1.10063	-0.90398	-2.53639	-8.31073	-4.44817	-3.69058	5.80963	5.34744	4.99487	4.42794
